Agency,Portfolio,URL Col,URL,Status
Tertiary Education Quality and Standards Agency,Education,glossary_url1,https://www.transparency.gov.au/publications/education/tertiary-education-quality-and-standards-agency/tertiary-education-quality-and-standards-agency-annual-report-2023-24/part-5%3A-appendices/glossary-of-abbreviations%2C-acronyms-and-definitions,OK
Tertiary Education Quality and Standards Agency,Education,glossary_url2,nan,Error: Message: invalid argument
Tiwi Land Council,Prime Minister and Cabinet,glossary_url1,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/tiwi-land-council/annual-report-2023-2024/part-5%3A-appendices/glossary-,OK
Tiwi Land Council,Prime Minister and Cabinet,glossary_url2,nan,Error: Message: invalid argument
Torres Strait Regional Authority,Prime Minister and Cabinet,glossary_url1,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/torres-strait-regional-authority/torres-strait-regional-authority-annual-report-2023-24/part-5%3A-abbreviations-and-requirements/list-of-abbreviations,OK
Torres Strait Regional Authority,Prime Minister and Cabinet,glossary_url2,nan,Error: Message: invalid argument
Tourism Australia,Foreign Affairs and Trade,glossary_url1,https://www.transparency.gov.au/publications/foreign-affairs-and-trade/tourism-australia/tourism-australia-annual-report-2023-24/7.-appendix/7.4-glossary,OK
Tourism Australia,Foreign Affairs and Trade,glossary_url2,https://www.transparency.gov.au/publications/foreign-affairs-and-trade/tourism-australia/tourism-australia-annual-report-2023-24/7.-appendix/7.5-abbreviations-and-acronyms,OK
WSA Co Ltd,"Infrastructure, Transport, Cities and Regional Development",glossary_url1,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/wsa-co-ltd/wsa-co-limited-annual-report-2023-24/12.-glossary-and-abbreviations,OK
WSA Co Ltd,"Infrastructure, Transport, Cities and Regional Development",glossary_url2,https://www.transparency.gov.au/publications/infrastructure-transport-cities-and-regional-development/wsa-co-ltd/wsa-co-limited-annual-report-2023-24/12.-glossary-and-abbreviations,OK
Wine Australia,Agriculture,glossary_url1,https://www.transparency.gov.au/publications/agriculture/wine-australia/wine-australia-annual-report-2023-24/appendices/appendix-ii%3A-glossary,OK
Wine Australia,Agriculture,glossary_url2,nan,Error: Message: invalid argument
Workplace Gender Equality Agency,Prime Minister and Cabinet,glossary_url1,https://www.transparency.gov.au/publications/prime-minister-and-cabinet/workplace-gender-equality-agency/workplace-gender-equality-agency-annual-report-2023-24/overview/glossary-and-acronyms,OK
Workplace Gender Equality Agency,Prime Minister and Cabinet,glossary_url2,nan,Error: Message: invalid argument
Wreck Bay Aboriginal Community Council,Prime Minister and Cabinet,glossary_url1,nan,Error: Message: invalid argument
Wreck Bay Aboriginal Community Council,Prime Minister and Cabinet,glossary_url2,nan,Error: Message: invalid argument
